"ingestion_system","shop_count","total_offers","date"
"Feed Ingestion System (FIS)","1846","152611462","2023-09-21"
"Legacy Scraper","5746","17790999","2023-09-21"
"Legacy Agent","3892","60413926","2023-09-21"
"Search Engine Scraper","25","11670","2023-09-21"
"Legacy Monza Agent","2","8153369","2023-09-21"
"Feed Ingestion System (FIS)","1851","152256297","2023-09-22"
"Legacy Scraper","5747","17842528","2023-09-22"
"Legacy Agent","3886","60194277","2023-09-22"
"Search Engine Scraper","25","11686","2023-09-22"
"Legacy Monza Agent","2","8166064","2023-09-22"
"Feed Ingestion System (FIS)","1855","153072151","2023-09-23"
"Legacy Scraper","5746","17915489","2023-09-23"
"Legacy Agent","3883","60821030","2023-09-23"
"Search Engine Scraper","25","11692","2023-09-23"
"Legacy Monza Agent","2","8191080","2023-09-23"
"Feed Ingestion System (FIS)","1855","155967441","2023-09-24"
"Legacy Scraper","5746","17855606","2023-09-24"
"Legacy Agent","3883","60805803","2023-09-24"
"Search Engine Scraper","25","11696","2023-09-24"
"Legacy Monza Agent","2","8171084","2023-09-24"
"Feed Ingestion System (FIS)","1855","157028502","2023-09-25"
"Legacy Scraper","5746","17899694","2023-09-25"
"Legacy Agent","3883","60588336","2023-09-25"
"Search Engine Scraper","25","11682","2023-09-25"
"Legacy Monza Agent","2","8066794","2023-09-25"
"Feed Ingestion System (FIS)","1860","158496091","2023-09-26"
"Legacy Scraper","5745","17859109","2023-09-26"
"Legacy Agent","3877","60788736","2023-09-26"
"Search Engine Scraper","25","11661","2023-09-26"
"Legacy Monza Agent","2","7748738","2023-09-26"
"Feed Ingestion System (FIS)","1859","160995956","2023-09-27"
"Legacy Scraper","5744","18027516","2023-09-27"
"Legacy Agent","3874","60396519","2023-09-27"
"Search Engine Scraper","25","11732","2023-09-27"
"Legacy Monza Agent","2","7777369","2023-09-27"
"Feed Ingestion System (FIS)","1862","161337060","2023-09-28"
"Legacy Scraper","5743","17507548","2023-09-28"
"Legacy Agent","3871","59720873","2023-09-28"
"Search Engine Scraper","25","11805","2023-09-28"
"Legacy Monza Agent","2","7749644","2023-09-28"
"Feed Ingestion System (FIS)","1865","161213130","2023-09-29"
"Legacy Scraper","5743","17489038","2023-09-29"
"Legacy Agent","3868","60743307","2023-09-29"
"Search Engine Scraper","25","11818","2023-09-29"
"Legacy Monza Agent","2","7738679","2023-09-29"
"Feed Ingestion System (FIS)","1867","163165237","2023-09-30"
"Legacy Scraper","5741","17375744","2023-09-30"
"Legacy Agent","3866","60283697","2023-09-30"
"Search Engine Scraper","25","11836","2023-09-30"
"Legacy Monza Agent","2","7715195","2023-09-30"
"Feed Ingestion System (FIS)","1867","166862119","2023-10-01"
"Legacy Scraper","5741","17396630","2023-10-01"
"Legacy Agent","3866","59913904","2023-10-01"
"Search Engine Scraper","25","11839","2023-10-01"
"Legacy Monza Agent","2","7737093","2023-10-01"
"Feed Ingestion System (FIS)","1867","168823757","2023-10-02"
"Legacy Scraper","5741","17387807","2023-10-02"
"Legacy Agent","3866","60265499","2023-10-02"
"Search Engine Scraper","25","11825","2023-10-02"
"Legacy Monza Agent","2","7746010","2023-10-02"
"Feed Ingestion System (FIS)","1871","169420356","2023-10-03"
"Legacy Scraper","5742","17202328","2023-10-03"
"Legacy Agent","3861","60307041","2023-10-03"
"Search Engine Scraper","25","11781","2023-10-03"
"Legacy Monza Agent","2","7419075","2023-10-03"
"Feed Ingestion System (FIS)","1877","168566193","2023-10-04"
"Legacy Scraper","5742","17210816","2023-10-04"
"Legacy Agent","3853","60271146","2023-10-04"
"Search Engine Scraper","25","11857","2023-10-04"
"Legacy Monza Agent","2","7451042","2023-10-04"
"Feed Ingestion System (FIS)","1882","164515604","2023-10-05"
"Legacy Scraper","5742","17537889","2023-10-05"
"Legacy Agent","3845","59725943","2023-10-05"
"Search Engine Scraper","25","11895","2023-10-05"
"Legacy Monza Agent","2","7459298","2023-10-05"
"Feed Ingestion System (FIS)","1885","170984980","2023-10-06"
"Legacy Scraper","5741","17376441","2023-10-06"
"Legacy Agent","3838","59942312","2023-10-06"
"Search Engine Scraper","25","11916","2023-10-06"
"Legacy Monza Agent","1","1781934","2023-10-06"
"Feed Ingestion System (FIS)","1902","173463278","2023-10-07"
"Legacy Scraper","5741","17400813","2023-10-07"
"Legacy Agent","3834","60112577","2023-10-07"
"Legacy Monza Agent","1","1785756","2023-10-07"
"Search Engine Scraper","9","207","2023-10-07"
"Feed Ingestion System (FIS)","1903","175018005","2023-10-08"
"Legacy Scraper","5741","17531587","2023-10-08"
"Legacy Agent","3833","59804020","2023-10-08"
"Legacy Monza Agent","1","1759030","2023-10-08"
"Search Engine Scraper","9","207","2023-10-08"
"Feed Ingestion System (FIS)","1903","176734274","2023-10-09"
"Legacy Scraper","5741","17402236","2023-10-09"
"Legacy Agent","3833","60102576","2023-10-09"
"Legacy Monza Agent","1","1746588","2023-10-09"
"Search Engine Scraper","9","207","2023-10-09"
"Feed Ingestion System (FIS)","1912","176747059","2023-10-10"
"Legacy Scraper","5741","17491553","2023-10-10"
"Legacy Agent","3824","59761522","2023-10-10"
"Legacy Monza Agent","1","1719831","2023-10-10"
"Search Engine Scraper","9","207","2023-10-10"
"Feed Ingestion System (FIS)","1913","170210556","2023-10-11"
"Legacy Scraper","5740","17474536","2023-10-11"
"Legacy Agent","3823","59957485","2023-10-11"
"Legacy Monza Agent","1","1718324","2023-10-11"
"Search Engine Scraper","9","207","2023-10-11"
"Feed Ingestion System (FIS)","1915","170940295","2023-10-12"
"Legacy Scraper","5741","17680931","2023-10-12"
"Legacy Agent","3821","59994347","2023-10-12"
"Legacy Monza Agent","1","1766531","2023-10-12"
"Search Engine Scraper","9","207","2023-10-12"
"Feed Ingestion System (FIS)","1925","170774753","2023-10-13"
"Legacy Scraper","5741","17381606","2023-10-13"
"Legacy Agent","3810","59970928","2023-10-13"
"Legacy Monza Agent","1","1756416","2023-10-13"
"Search Engine Scraper","9","207","2023-10-13"
"Feed Ingestion System (FIS)","1971","173591806","2023-10-14"
"Legacy Scraper","5740","17408568","2023-10-14"
"Legacy Agent","3765","59956717","2023-10-14"
"Legacy Monza Agent","1","1761364","2023-10-14"
"Search Engine Scraper","9","207","2023-10-14"
"Feed Ingestion System (FIS)","1971","174830099","2023-10-15"
"Legacy Scraper","5740","17343950","2023-10-15"
"Legacy Agent","3765","59905528","2023-10-15"
"Legacy Monza Agent","1","1764684","2023-10-15"
"Search Engine Scraper","9","207","2023-10-15"
"Feed Ingestion System (FIS)","1971","176455557","2023-10-16"
"Legacy Scraper","5740","17455785","2023-10-16"
"Legacy Agent","3765","59601173","2023-10-16"
"Legacy Monza Agent","1","1759443","2023-10-16"
"Search Engine Scraper","9","207","2023-10-16"
"Feed Ingestion System (FIS)","2172","180102774","2023-10-17"
"Legacy Scraper","5740","17624041","2023-10-17"
"Legacy Agent","3562","56391405","2023-10-17"
"Legacy Monza Agent","1","1757935","2023-10-17"
"Search Engine Scraper","9","207","2023-10-17"
"Feed Ingestion System (FIS)","2267","178524037","2023-10-18"
"Legacy Scraper","5738","17403689","2023-10-18"
"Legacy Agent","3469","55232970","2023-10-18"
"Legacy Monza Agent","1","1759923","2023-10-18"
"Search Engine Scraper","9","207","2023-10-18"
"Feed Ingestion System (FIS)","2266","174601669","2023-10-19"
"Legacy Scraper","5738","17606961","2023-10-19"
"Legacy Agent","3468","55103244","2023-10-19"
"Legacy Monza Agent","1","1758269","2023-10-19"
"Search Engine Scraper","9","207","2023-10-19"
"Feed Ingestion System (FIS)","2266","174531503","2023-10-20"
"Legacy Scraper","5737","17590398","2023-10-20"
"Legacy Agent","3468","55469670","2023-10-20"
"Legacy Monza Agent","1","1759114","2023-10-20"
"Search Engine Scraper","9","207","2023-10-20"
"Feed Ingestion System (FIS)","2266","177449124","2023-10-21"
"Legacy Scraper","5735","17547234","2023-10-21"
"Legacy Agent","3464","55632941","2023-10-21"
"Legacy Monza Agent","1","1773408","2023-10-21"
"Search Engine Scraper","9","207","2023-10-21"
"Feed Ingestion System (FIS)","2265","179038419","2023-10-22"
"Legacy Scraper","5735","17647060","2023-10-22"
"Legacy Agent","3464","55412214","2023-10-22"
"Legacy Monza Agent","1","1769965","2023-10-22"
"Search Engine Scraper","10","240","2023-10-22"
"Feed Ingestion System (FIS)","2265","180592535","2023-10-23"
"Legacy Scraper","5735","17508569","2023-10-23"
"Legacy Agent","3464","55194137","2023-10-23"
"Legacy Monza Agent","1","1765178","2023-10-23"
"Search Engine Scraper","10","243","2023-10-23"
"Feed Ingestion System (FIS)","2269","181892589","2023-10-24"
"Legacy Scraper","5732","17422439","2023-10-24"
"Legacy Agent","3453","55355047","2023-10-24"
"Legacy Monza Agent","1","1766245","2023-10-24"
"Search Engine Scraper","10","231","2023-10-24"
"Feed Ingestion System (FIS)","2269","177203200","2023-10-25"
"Legacy Scraper","5732","17300539","2023-10-25"
"Legacy Agent","3453","55588924","2023-10-25"
"Legacy Monza Agent","1","1785422","2023-10-25"
"Search Engine Scraper","10","232","2023-10-25"
"Feed Ingestion System (FIS)","2269","175228835","2023-10-26"
"Legacy Scraper","5732","17319669","2023-10-26"
"Legacy Agent","3451","55272289","2023-10-26"
"Legacy Monza Agent","1","1794197","2023-10-26"
"Search Engine Scraper","10","232","2023-10-26"
"Feed Ingestion System (FIS)","2268","175094031","2023-10-27"
"Legacy Scraper","5731","17171352","2023-10-27"
"Legacy Agent","3448","55439106","2023-10-27"
"Legacy Monza Agent","1","1793297","2023-10-27"
"Search Engine Scraper","10","231","2023-10-27"
"Feed Ingestion System (FIS)","2266","177549451","2023-10-28"
"Legacy Scraper","5731","17102265","2023-10-28"
"Legacy Agent","3447","55346288","2023-10-28"
"Legacy Monza Agent","1","1790533","2023-10-28"
"Search Engine Scraper","10","226","2023-10-28"
"Feed Ingestion System (FIS)","2266","179293420","2023-10-29"
"Legacy Scraper","5731","17136898","2023-10-29"
"Legacy Agent","3448","55166304","2023-10-29"
"Legacy Monza Agent","1","1785486","2023-10-29"
"Search Engine Scraper","10","225","2023-10-29"
"Feed Ingestion System (FIS)","2266","180924860","2023-10-30"
"Legacy Scraper","5731","17119520","2023-10-30"
"Legacy Agent","3448","55633529","2023-10-30"
"Legacy Monza Agent","1","1780564","2023-10-30"
"Search Engine Scraper","10","240","2023-10-30"
"Feed Ingestion System (FIS)","2262","181789711","2023-10-31"
"Legacy Scraper","5731","17209921","2023-10-31"
"Legacy Agent","3449","54793983","2023-10-31"
"Legacy Monza Agent","1","1782399","2023-10-31"
"Search Engine Scraper","10","235","2023-10-31"
"Feed Ingestion System (FIS)","2267","174435490","2023-11-01"
"Legacy Scraper","5730","17148634","2023-11-01"
"Legacy Agent","3447","54704542","2023-11-01"
"Legacy Monza Agent","1","1794269","2023-11-01"
"Search Engine Scraper","10","243","2023-11-01"
"Feed Ingestion System (FIS)","2268","172757045","2023-11-02"
"Legacy Scraper","5727","17286931","2023-11-02"
"Legacy Agent","3439","55009564","2023-11-02"
"Legacy Monza Agent","1","1792826","2023-11-02"
"Search Engine Scraper","10","238","2023-11-02"
"Feed Ingestion System (FIS)","2269","174491225","2023-11-03"
"Legacy Scraper","5727","17230138","2023-11-03"
"Legacy Agent","3435","54835873","2023-11-03"
"Legacy Monza Agent","1","1782977","2023-11-03"
"Search Engine Scraper","10","243","2023-11-03"
"Feed Ingestion System (FIS)","2269","177152203","2023-11-04"
"Legacy Scraper","5727","17269617","2023-11-04"
"Legacy Agent","3435","55174083","2023-11-04"
"Legacy Monza Agent","1","1838983","2023-11-04"
"Search Engine Scraper","10","237","2023-11-04"
"Feed Ingestion System (FIS)","2269","178759065","2023-11-05"
"Legacy Scraper","5727","17184268","2023-11-05"
"Legacy Agent","3434","54747147","2023-11-05"
"Legacy Monza Agent","1","1833690","2023-11-05"
"Search Engine Scraper","10","239","2023-11-05"
"Feed Ingestion System (FIS)","2269","180357890","2023-11-06"
"Legacy Scraper","5727","17144133","2023-11-06"
"Legacy Agent","3434","54384540","2023-11-06"
"Legacy Monza Agent","1","1829047","2023-11-06"
"Search Engine Scraper","10","236","2023-11-06"
"Feed Ingestion System (FIS)","2268","181716968","2023-11-07"
"Legacy Scraper","5726","17293044","2023-11-07"
"Legacy Agent","3424","54763522","2023-11-07"
"Legacy Monza Agent","1","1807076","2023-11-07"
"Search Engine Scraper","10","236","2023-11-07"
"Feed Ingestion System (FIS)","2287","177773686","2023-11-08"
"Legacy Scraper","5725","17368684","2023-11-08"
"Legacy Agent","3404","54367697","2023-11-08"
"Legacy Monza Agent","1","1827842","2023-11-08"
"Search Engine Scraper","10","239","2023-11-08"
"Feed Ingestion System (FIS)","2288","174159795","2023-11-09"
"Legacy Scraper","5725","17115474","2023-11-09"
"Legacy Agent","3404","54548887","2023-11-09"
"Legacy Monza Agent","1","1832517","2023-11-09"
"Search Engine Scraper","10","242","2023-11-09"
"Feed Ingestion System (FIS)","2351","173890656","2023-11-10"
"Legacy Scraper","5725","17156168","2023-11-10"
"Legacy Agent","3340","54887619","2023-11-10"
"Legacy Monza Agent","1","1838436","2023-11-10"
"Search Engine Scraper","10","222","2023-11-10"
"Feed Ingestion System (FIS)","2367","178404080","2023-11-11"
"Legacy Scraper","5725","17259642","2023-11-11"
"Legacy Agent","3322","54285111","2023-11-11"
"Legacy Monza Agent","1","1842598","2023-11-11"
"Search Engine Scraper","10","222","2023-11-11"
"Feed Ingestion System (FIS)","2367","179690350","2023-11-12"
"Legacy Scraper","5725","17319451","2023-11-12"
"Legacy Agent","3322","54881897","2023-11-12"
"Legacy Monza Agent","1","1842598","2023-11-12"
"Search Engine Scraper","10","222","2023-11-12"
"Feed Ingestion System (FIS)","2367","181230177","2023-11-13"
"Legacy Scraper","5725","17140009","2023-11-13"
"Legacy Agent","3320","55192832","2023-11-13"
"Legacy Monza Agent","1","1842598","2023-11-13"
"Search Engine Scraper","10","222","2023-11-13"
"Feed Ingestion System (FIS)","2369","182388520","2023-11-14"
"Legacy Scraper","5724","17064620","2023-11-14"
"Legacy Agent","3316","55279426","2023-11-14"
"Legacy Monza Agent","1","1783049","2023-11-14"
"Search Engine Scraper","10","222","2023-11-14"
"Feed Ingestion System (FIS)","2410","177690130","2023-11-15"
"Legacy Scraper","5724","16935802","2023-11-15"
"Legacy Agent","3274","55080270","2023-11-15"
"Legacy Monza Agent","1","1788781","2023-11-15"
"Search Engine Scraper","10","222","2023-11-15"
"Feed Ingestion System (FIS)","2418","178187475","2023-11-16"
"Legacy Scraper","5721","16933692","2023-11-16"
"Legacy Agent","3266","54998305","2023-11-16"
"Legacy Monza Agent","1","1789313","2023-11-16"
"Search Engine Scraper","10","222","2023-11-16"
"Feed Ingestion System (FIS)","2436","177645854","2023-11-17"
"Legacy Scraper","5721","17041788","2023-11-17"
"Legacy Agent","3243","54344050","2023-11-17"
"Legacy Monza Agent","1","1772345","2023-11-17"
"Search Engine Scraper","10","222","2023-11-17"
"Feed Ingestion System (FIS)","2470","178113404","2023-11-18"
"Legacy Scraper","5721","17046958","2023-11-18"
"Legacy Agent","3209","54298278","2023-11-18"
"Legacy Monza Agent","1","1778551","2023-11-18"
"Search Engine Scraper","10","222","2023-11-18"
"Feed Ingestion System (FIS)","2470","179504557","2023-11-19"
"Legacy Scraper","5721","17090598","2023-11-19"
"Legacy Agent","3209","54740527","2023-11-19"
"Legacy Monza Agent","1","1777067","2023-11-19"
"Search Engine Scraper","10","222","2023-11-19"
"Feed Ingestion System (FIS)","2470","180909885","2023-11-20"
"Legacy Scraper","5720","17046534","2023-11-20"
"Legacy Agent","3209","54702320","2023-11-20"
"Legacy Monza Agent","1","1770515","2023-11-20"
"Search Engine Scraper","10","222","2023-11-20"
"Feed Ingestion System (FIS)","2498","182186346","2023-11-21"
"Legacy Scraper","5721","17178010","2023-11-21"
"Legacy Agent","3180","54453399","2023-11-21"
"Legacy Monza Agent","1","1770459","2023-11-21"
"Search Engine Scraper","10","222","2023-11-21"
"Feed Ingestion System (FIS)","2552","178720524","2023-11-22"
"Legacy Scraper","5720","16986291","2023-11-22"
"Legacy Agent","3126","53428577","2023-11-22"
"Legacy Monza Agent","1","1784754","2023-11-22"
"Search Engine Scraper","10","222","2023-11-22"
"Feed Ingestion System (FIS)","2608","176077651","2023-11-23"
"Legacy Scraper","5719","16806517","2023-11-23"
"Legacy Agent","3073","53253260","2023-11-23"
"Legacy Monza Agent","1","1851469","2023-11-23"
"Search Engine Scraper","10","222","2023-11-23"
"Feed Ingestion System (FIS)","2607","176212978","2023-11-24"
"Legacy Scraper","5721","12310565","2023-11-24"
"Legacy Agent","3071","53322443","2023-11-24"
"Legacy Monza Agent","1","1829767","2023-11-24"
"Search Engine Scraper","10","222","2023-11-24"
"Feed Ingestion System (FIS)","2609","179405699","2023-11-25"
"Legacy Scraper","5721","12113930","2023-11-25"
"Legacy Agent","3071","52841948","2023-11-25"
"Legacy Monza Agent","1","1773024","2023-11-25"
"Search Engine Scraper","10","222","2023-11-25"
"Feed Ingestion System (FIS)","2609","181130164","2023-11-26"
"Legacy Scraper","5721","12073293","2023-11-26"
"Legacy Agent","3071","52710046","2023-11-26"
"Legacy Monza Agent","1","1785937","2023-11-26"
"Search Engine Scraper","10","222","2023-11-26"
"Feed Ingestion System (FIS)","2609","182626684","2023-11-27"
"Legacy Scraper","5721","11994384","2023-11-27"
"Legacy Agent","3071","52672453","2023-11-27"
"Legacy Monza Agent","1","1732002","2023-11-27"
"Search Engine Scraper","10","222","2023-11-27"
"Feed Ingestion System (FIS)","2609","183506533","2023-11-28"
"Legacy Scraper","5722","11996328","2023-11-28"
"Legacy Agent","3071","52332269","2023-11-28"
"Legacy Monza Agent","1","1718310","2023-11-28"
"Search Engine Scraper","10","222","2023-11-28"
"Feed Ingestion System (FIS)","2633","179928367","2023-11-29"
"Legacy Scraper","5721","12041966","2023-11-29"
"Legacy Agent","3046","52114722","2023-11-29"
"Legacy Monza Agent","1","1717734","2023-11-29"
"Search Engine Scraper","10","222","2023-11-29"
"Feed Ingestion System (FIS)","2636","176575128","2023-11-30"
"Legacy Scraper","5720","12065069","2023-11-30"
"Legacy Agent","3044","52056796","2023-11-30"
"Legacy Monza Agent","1","1731144","2023-11-30"
"Search Engine Scraper","10","222","2023-11-30"
"Feed Ingestion System (FIS)","2635","176244552","2023-12-01"
"Legacy Scraper","5720","11969180","2023-12-01"
"Legacy Agent","3044","51947634","2023-12-01"
"Legacy Monza Agent","1","1760923","2023-12-01"
"Search Engine Scraper","10","222","2023-12-01"
"Feed Ingestion System (FIS)","2701","180925968","2023-12-02"
"Legacy Scraper","5719","12168516","2023-12-02"
"Legacy Agent","2976","50577315","2023-12-02"
"Legacy Monza Agent","1","1770537","2023-12-02"
"Search Engine Scraper","11","227","2023-12-02"
"Feed Ingestion System (FIS)","2701","182362738","2023-12-03"
"Legacy Scraper","5719","12123394","2023-12-03"
"Legacy Agent","2976","50582244","2023-12-03"
"Legacy Monza Agent","1","1790506","2023-12-03"
"Search Engine Scraper","11","226","2023-12-03"
"Feed Ingestion System (FIS)","2701","183584002","2023-12-04"
"Legacy Scraper","5719","12095455","2023-12-04"
"Legacy Agent","2976","50508651","2023-12-04"
"Legacy Monza Agent","1","1780090","2023-12-04"
"Search Engine Scraper","11","226","2023-12-04"
"Feed Ingestion System (FIS)","2701","184772599","2023-12-05"
"Legacy Scraper","5720","11933284","2023-12-05"
"Legacy Agent","2975","49224776","2023-12-05"
"Legacy Monza Agent","1","1997067","2023-12-05"
"Search Engine Scraper","11","227","2023-12-05"
"Feed Ingestion System (FIS)","2778","180641765","2023-12-06"
"Legacy Scraper","5720","12098618","2023-12-06"
"Legacy Agent","2899","49568491","2023-12-06"
"Legacy Monza Agent","1","2010084","2023-12-06"
"Search Engine Scraper","11","236","2023-12-06"
"Feed Ingestion System (FIS)","2783","179435420","2023-12-07"
"Legacy Scraper","5719","11963974","2023-12-07"
"Legacy Agent","2894","49550988","2023-12-07"
"Legacy Monza Agent","1","346474","2023-12-07"
"Search Engine Scraper","11","236","2023-12-07"
"Feed Ingestion System (FIS)","2782","179220288","2023-12-08"
"Legacy Scraper","5719","11942347","2023-12-08"
"Legacy Agent","2891","49333646","2023-12-08"
"Legacy Monza Agent","1","295347","2023-12-08"
"Search Engine Scraper","11","236","2023-12-08"
"Feed Ingestion System (FIS)","2784","182168101","2023-12-09"
"Legacy Scraper","5719","12087904","2023-12-09"
"Legacy Agent","2887","49845810","2023-12-09"
"Legacy Monza Agent","1","332433","2023-12-09"
"Search Engine Scraper","11","226","2023-12-09"
"Feed Ingestion System (FIS)","2784","182787087","2023-12-10"
"Legacy Scraper","5719","12133067","2023-12-10"
"Legacy Agent","2887","49788780","2023-12-10"
"Legacy Monza Agent","1","321988","2023-12-10"
"Search Engine Scraper","11","226","2023-12-10"
"Feed Ingestion System (FIS)","2784","185925422","2023-12-11"
"Legacy Scraper","5719","12052230","2023-12-11"
"Legacy Agent","2887","49849120","2023-12-11"
"Legacy Monza Agent","1","326083","2023-12-11"
"Search Engine Scraper","11","226","2023-12-11"
"Feed Ingestion System (FIS)","2904","187406181","2023-12-12"
"Legacy Scraper","5719","11996723","2023-12-12"
"Legacy Agent","2765","48388926","2023-12-12"
"Legacy Monza Agent","1","83890","2023-12-12"
"Search Engine Scraper","11","226","2023-12-12"
"Feed Ingestion System (FIS)","2923","187167206","2023-12-13"
"Legacy Scraper","5719","11961864","2023-12-13"
"Legacy Agent","2746","44942515","2023-12-13"
"Legacy Monza Agent","1","59663","2023-12-13"
"Search Engine Scraper","11","226","2023-12-13"
"Feed Ingestion System (FIS)","2921","179952692","2023-12-14"
"Legacy Scraper","5719","11999610","2023-12-14"
"Legacy Agent","2746","44631434","2023-12-14"
"Legacy Monza Agent","1","59397","2023-12-14"
"Search Engine Scraper","11","226","2023-12-14"
"Feed Ingestion System (FIS)","2921","179683170","2023-12-15"
"Legacy Scraper","5718","11988978","2023-12-15"
"Legacy Agent","2745","44927981","2023-12-15"
"Legacy Monza Agent","1","89612","2023-12-15"
"Search Engine Scraper","11","226","2023-12-15"
"Feed Ingestion System (FIS)","2916","183378345","2023-12-16"
"Legacy Scraper","5718","11959483","2023-12-16"
"Legacy Agent","2745","45056449","2023-12-16"
"Legacy Monza Agent","1","86878","2023-12-16"
"Search Engine Scraper","11","226","2023-12-16"
"Feed Ingestion System (FIS)","2916","184923358","2023-12-17"
"Legacy Scraper","5718","11989869","2023-12-17"
"Legacy Agent","2745","44327717","2023-12-17"
"Legacy Monza Agent","1","84924","2023-12-17"
"Search Engine Scraper","11","226","2023-12-17"
"Feed Ingestion System (FIS)","2916","186367898","2023-12-18"
"Legacy Scraper","5718","11852081","2023-12-18"
"Legacy Agent","2745","44989405","2023-12-18"
"Legacy Monza Agent","1","84937","2023-12-18"
"Search Engine Scraper","11","226","2023-12-18"
"Feed Ingestion System (FIS)","3009","188013065","2023-12-19"
"Legacy Scraper","5712","11857168","2023-12-19"
"Legacy Agent","2652","44233101","2023-12-19"
"Legacy Monza Agent","1","86023","2023-12-19"
"Search Engine Scraper","11","226","2023-12-19"
"Feed Ingestion System (FIS)","3082","186939413","2023-12-20"
"Legacy Scraper","5709","11803087","2023-12-20"
"Legacy Agent","2582","42041417","2023-12-20"
"Legacy Monza Agent","1","94895","2023-12-20"
"Search Engine Scraper","11","226","2023-12-20"
"Feed Ingestion System (FIS)","3090","185564178","2023-12-21"
"Legacy Scraper","5709","11909635","2023-12-21"
"Legacy Agent","2572","40967543","2023-12-21"
"Legacy Monza Agent","1","91622","2023-12-21"
"Search Engine Scraper","11","226","2023-12-21"
"Feed Ingestion System (FIS)","3144","184340610","2023-12-22"
"Legacy Scraper","5707","11703570","2023-12-22"
"Legacy Agent","2518","40451419","2023-12-22"
"Legacy Monza Agent","1","102673","2023-12-22"
"Search Engine Scraper","11","226","2023-12-22"
"Feed Ingestion System (FIS)","3145","187566174","2023-12-23"
"Legacy Scraper","5707","11801183","2023-12-23"
"Legacy Agent","2516","40443377","2023-12-23"
"Legacy Monza Agent","1","94922","2023-12-23"
"Search Engine Scraper","11","226","2023-12-23"
"Feed Ingestion System (FIS)","3145","189153661","2023-12-24"
"Legacy Scraper","5707","11763102","2023-12-24"
"Legacy Agent","2516","40304193","2023-12-24"
"Legacy Monza Agent","1","94921","2023-12-24"
"Search Engine Scraper","11","226","2023-12-24"
"Feed Ingestion System (FIS)","3145","190764562","2023-12-25"
"Legacy Scraper","5707","11848279","2023-12-25"
"Legacy Agent","2516","40412961","2023-12-25"
"Legacy Monza Agent","1","37091","2023-12-25"
"Search Engine Scraper","11","226","2023-12-25"
"Feed Ingestion System (FIS)","3144","191937808","2023-12-26"
"Legacy Scraper","5707","11608043","2023-12-26"
"Legacy Agent","2516","40279787","2023-12-26"
"Legacy Monza Agent","1","48721","2023-12-26"
"Search Engine Scraper","11","226","2023-12-26"
"Feed Ingestion System (FIS)","3143","185879398","2023-12-27"
"Legacy Scraper","5707","11611607","2023-12-27"
"Legacy Agent","2516","40204518","2023-12-27"
"Legacy Monza Agent","1","49561","2023-12-27"
"Search Engine Scraper","11","226","2023-12-27"
"Feed Ingestion System (FIS)","3178","184257856","2023-12-28"
"Legacy Scraper","5706","11515313","2023-12-28"
"Legacy Agent","2482","39530684","2023-12-28"
"Legacy Monza Agent","1","39173","2023-12-28"
"Search Engine Scraper","11","226","2023-12-28"
"Feed Ingestion System (FIS)","3173","183872415","2023-12-29"
"Legacy Scraper","5706","11778207","2023-12-29"
"Legacy Agent","2484","40018870","2023-12-29"
"Legacy Monza Agent","1","49528","2023-12-29"
"Search Engine Scraper","11","226","2023-12-29"
"Feed Ingestion System (FIS)","3171","187355532","2023-12-30"
"Legacy Scraper","5705","11878521","2023-12-30"
"Legacy Agent","2483","40127959","2023-12-30"
"Legacy Monza Agent","1","36907","2023-12-30"
"Search Engine Scraper","11","226","2023-12-30"
"Feed Ingestion System (FIS)","3171","188812792","2023-12-31"
"Legacy Scraper","5705","11825007","2023-12-31"
"Legacy Agent","2483","40011430","2023-12-31"
"Legacy Monza Agent","1","35729","2023-12-31"
"Search Engine Scraper","11","226","2023-12-31"
"Feed Ingestion System (FIS)","3171","190243481","2024-01-01"
"Legacy Scraper","5705","11737516","2024-01-01"
"Legacy Agent","2483","40108756","2024-01-01"
"Legacy Monza Agent","1","33934","2024-01-01"
"Search Engine Scraper","11","226","2024-01-01"
"Feed Ingestion System (FIS)","3170","191523834","2024-01-02"
"Legacy Scraper","5705","11744072","2024-01-02"
"Legacy Agent","2484","40060498","2024-01-02"
"Legacy Monza Agent","1","47279","2024-01-02"
"Search Engine Scraper","11","226","2024-01-02"
"Feed Ingestion System (FIS)","3168","187580713","2024-01-03"
"Legacy Scraper","5705","11757076","2024-01-03"
"Legacy Agent","2484","39984239","2024-01-03"
"Legacy Monza Agent","1","46566","2024-01-03"
"Search Engine Scraper","11","226","2024-01-03"
"Feed Ingestion System (FIS)","3168","184681009","2024-01-04"
"Legacy Scraper","5705","11738989","2024-01-04"
"Legacy Agent","2478","40045674","2024-01-04"
"Legacy Monza Agent","1","46875","2024-01-04"
"Search Engine Scraper","11","226","2024-01-04"
"Feed Ingestion System (FIS)","3168","183955076","2024-01-05"
"Legacy Scraper","5704","11750306","2024-01-05"
"Legacy Agent","2477","40122018","2024-01-05"
"Legacy Monza Agent","1","29356","2024-01-05"
"Search Engine Scraper","11","226","2024-01-05"
"Feed Ingestion System (FIS)","3169","187308774","2024-01-06"
"Legacy Scraper","5704","11684142","2024-01-06"
"Legacy Agent","2476","39747911","2024-01-06"
"Legacy Monza Agent","1","34275","2024-01-06"
"Search Engine Scraper","11","212","2024-01-06"
"Feed Ingestion System (FIS)","3169","188933499","2024-01-07"
"Legacy Scraper","5704","11654276","2024-01-07"
